epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,78.1857,0.65775,0.70788,0.92818,0.80911,0.8935,0.91167,0.80153,0.66859,0.90129,0.87963,0.000848969,0.000848969,0.000848969
43,79.4316,0.63739,0.75306,0.90503,0.79549,0.88664,0.90056,0.81756,0.59761,0.94868,0.86065,0.000834822,0.000834822,0.000834822
44,80.7299,0.67577,0.77211,0.93448,0.85983,0.95082,0.93944,0.86802,0.55802,0.67128,0.85143,0.000820675,0.000820675,0.000820675
45,82.1415,0.66844,0.76683,0.94509,0.84532,0.97626,0.93944,0.84382,0.58274,0.61656,0.85565,0.000806528,0.000806528,0.000806528
46,83.4809,0.69775,0.70962,0.93145,0.84571,0.99778,0.93944,0.85404,0.57583,0.56368,0.85828,0.00079238,0.00079238,0.00079238
47,85.603,0.69521,0.73175,0.94728,0.84598,0.99394,0.93944,0.86935,0.51567,0.5654,0.8502,0.000778233,0.000778233,0.000778233
48,87.5853,0.65635,0.64262,0.90082,0.84792,0.97056,0.93944,0.86013,0.51048,0.62451,0.85761,0.000764086,0.000764086,0.000764086
49,89.0487,0.60961,0.63097,0.91506,0.79353,0.9446,0.91167,0.82073,0.55941,0.68734,0.8646,0.000749939,0.000749939,0.000749939
50,90.3666,0.64902,0.61159,0.89721,0.79237,0.90499,0.90056,0.82304,0.53958,0.70542,0.85495,0.000735792,0.000735792,0.000735792
51,91.6661,0.62747,0.63682,0.91252,0.78888,0.91078,0.91167,0.83702,0.52639,0.68901,0.8549,0.000721645,0.000721645,0.000721645
52,93.0624,0.60158,0.6104,0.9069,0.81552,0.9742,0.91167,0.8205,0.53988,0.71966,0.86552,0.000707498,0.000707498,0.000707498
53,94.3581,0.60974,0.6509,0.91092,0.78786,0.95807,0.91167,0.83702,0.51669,0.68468,0.86359,0.000693351,0.000693351,0.000693351
54,95.6576,0.58982,0.68501,0.89851,0.7729,0.90892,0.90056,0.81876,0.54094,0.79701,0.86546,0.000679204,0.000679204,0.000679204
55,96.9354,0.62449,0.63853,0.92037,0.73172,0.85981,0.80694,0.72836,0.54851,0.92332,0.86691,0.000665057,0.000665057,0.000665057
56,98.4027,0.65942,0.67214,0.96203,0.75274,0.86022,0.88944,0.81231,0.57558,1.01664,0.86136,0.000650909,0.000650909,0.000650909
57,100.37,0.5767,0.60617,0.91327,0.77578,0.86486,0.88944,0.7861,0.59509,1.02609,0.8607,0.000636762,0.000636762,0.000636762
58,102.448,0.55281,0.55084,0.88633,0.80008,0.87715,0.90056,0.80276,0.54287,1.0197,0.8523,0.000622615,0.000622615,0.000622615
59,103.718,0.52856,0.54,0.87089,0.80511,0.87717,0.91167,0.8205,0.53412,0.94098,0.84874,0.000608468,0.000608468,0.000608468
60,105.055,0.61766,0.58367,0.9343,0.86984,0.86982,0.93944,0.84384,0.51726,0.7054,0.84376,0.000594321,0.000594321,0.000594321
61,106.339,0.55004,0.57166,0.89288,0.98264,0.8766,0.995,0.89637,0.52838,0.52938,0.84431,0.000580174,0.000580174,0.000580174
62,107.666,0.56196,0.54742,0.8963,0.96404,1,0.995,0.90384,0.48442,0.43707,0.84193,0.000566027,0.000566027,0.000566027
63,108.978,0.63987,0.64341,0.93341,0.92315,0.99077,0.995,0.90251,0.47217,0.46684,0.8401,0.00055188,0.00055188,0.00055188
64,110.265,0.59713,0.60029,0.92186,0.9741,1,0.995,0.91049,0.50833,0.44984,0.84456,0.000537733,0.000537733,0.000537733
65,111.557,0.52678,0.56137,0.86432,0.97113,1,0.995,0.91936,0.52092,0.44629,0.84628,0.000523586,0.000523586,0.000523586
66,113.802,0.5829,0.59121,0.91521,0.83309,0.99405,0.995,0.92867,0.49829,0.52204,0.83745,0.000509438,0.000509438,0.000509438
67,115.905,0.57495,0.57278,0.89972,0.84109,0.94358,0.995,0.92867,0.49595,0.57213,0.83709,0.000495291,0.000495291,0.000495291
