epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,105.17,0.78134,0.94721,0.97956,0.95693,0.98182,0.995,0.7955,0.58268,0.6689,0.94539,0.000531038,0.000531038,0.000531038
44,106.837,0.78535,0.81041,0.98901,0.9686,0.9906,0.995,0.72819,0.59655,0.65104,0.96949,0.000522039,0.000522039,0.000522039
45,108.38,0.74741,0.85681,0.97043,0.98789,0.99338,0.995,0.78895,0.6589,0.60915,0.96853,0.00051304,0.00051304,0.00051304
46,109.849,0.82267,0.84369,0.98778,0.98753,0.98023,0.995,0.76136,0.66399,0.61961,0.9657,0.00050404,0.00050404,0.00050404
47,111.372,0.8234,0.82526,0.97782,0.98869,1,0.995,0.74624,0.61043,0.54804,0.93894,0.000495041,0.000495041,0.000495041
48,113.372,0.80309,0.80463,0.96602,0.98677,1,0.995,0.74228,0.54479,0.48678,0.9323,0.000486042,0.000486042,0.000486042
49,115.362,0.76291,0.85335,0.96417,0.98584,1,0.995,0.71564,0.59615,0.49239,0.96753,0.000477043,0.000477043,0.000477043
50,117.654,0.75736,0.87914,0.98792,0.98791,1,0.995,0.71535,0.59457,0.4707,0.98273,0.000468044,0.000468044,0.000468044
51,119.316,0.76934,0.80342,0.95716,0.98807,1,0.995,0.69082,0.59069,0.4596,0.98463,0.000459045,0.000459045,0.000459045
52,120.885,0.76593,0.78756,0.94334,0.98417,1,0.995,0.72805,0.6094,0.45485,0.98351,0.000450046,0.000450046,0.000450046
53,122.452,0.7081,0.78816,0.94036,0.98155,1,0.995,0.75524,0.60913,0.42825,0.98466,0.000441047,0.000441047,0.000441047
54,124.185,0.7651,0.84704,0.99565,0.98725,1,0.995,0.74573,0.56242,0.45053,0.95424,0.000432048,0.000432048,0.000432048
55,125.678,0.70458,0.79195,0.95444,0.98855,0.96959,0.995,0.77948,0.54354,0.4634,0.92913,0.000423049,0.000423049,0.000423049
56,127.196,0.72005,0.76887,0.95078,0.99045,0.95528,0.995,0.81415,0.52109,0.50518,0.89747,0.000414049,0.000414049,0.000414049
57,129.343,0.69145,0.79653,0.91376,0.98827,0.94842,0.995,0.81003,0.50131,0.55942,0.88404,0.00040505,0.00040505,0.00040505
58,131.48,0.69528,0.72102,0.94552,0.97386,0.94844,0.995,0.83604,0.49353,0.58009,0.88824,0.000396051,0.000396051,0.000396051
59,133.336,0.68343,0.71406,0.95226,0.97809,0.94853,0.995,0.76808,0.54997,0.58884,0.89388,0.000387052,0.000387052,0.000387052
60,135.027,0.71671,0.72715,0.94404,0.99077,0.95473,0.995,0.7527,0.58021,0.58391,0.90969,0.000378053,0.000378053,0.000378053
61,137.023,0.71054,0.67935,0.93484,0.99541,0.99826,0.995,0.72893,0.57999,0.54013,0.93009,0.000369054,0.000369054,0.000369054
62,138.66,0.72061,0.72169,0.95438,0.97219,0.99278,0.995,0.76866,0.54578,0.5225,0.92639,0.000360055,0.000360055,0.000360055
63,140.306,0.71185,0.73377,0.96113,0.9727,0.99539,0.995,0.78527,0.58296,0.49704,0.91576,0.000351056,0.000351056,0.000351056
64,141.904,0.70397,0.74156,0.95709,0.989,1,0.995,0.78904,0.58301,0.43874,0.91665,0.000342057,0.000342057,0.000342057
65,144.385,0.63653,0.68939,0.92145,0.98963,0.96643,0.995,0.78542,0.57551,0.44117,0.92986,0.000333058,0.000333058,0.000333058
66,146.538,0.68172,0.68288,0.94712,0.98312,0.94956,0.995,0.7891,0.58332,0.45491,0.94939,0.000324058,0.000324058,0.000324058
67,148.044,0.66968,0.73096,0.92541,0.97428,0.94794,0.995,0.76458,0.59357,0.47621,0.9561,0.000315059,0.000315059,0.000315059
68,149.503,0.64143,0.68367,0.93065,0.97481,0.94779,0.995,0.78649,0.60447,0.46006,0.97192,0.00030606,0.00030606,0.00030606
69,151.045,0.6615,0.68292,0.92964,0.96853,0.94758,0.995,0.77269,0.60111,0.49592,0.96237,0.000297061,0.000297061,0.000297061
70,152.604,0.63175,0.6716,0.92434,0.97445,0.94853,0.995,0.76537,0.65424,0.4702,0.97861,0.000288062,0.000288062,0.000288062
71,154.218,0.67752,0.70208,0.95025,0.95707,0.98183,0.995,0.77684,0.65007,0.41804,0.97229,0.000279063,0.000279063,0.000279063
72,156.052,0.64508,0.70655,0.94357,0.97728,1,0.995,0.72874,0.5785,0.39179,0.95186,0.000270064,0.000270064,0.000270064
73,158.385,0.66667,0.66927,0.93681,0.98873,1,0.995,0.74844,0.54792,0.40182,0.94196,0.000261065,0.000261065,0.000261065
74,160.338,0.61246,0.64187,0.91535,0.98609,1,0.995,0.71023,0.55167,0.41261,0.93909,0.000252066,0.000252066,0.000252066
75,161.937,0.60425,0.64168,0.91762,0.98644,1,0.995,0.71026,0.55584,0.41655,0.94076,0.000243067,0.000243067,0.000243067
76,163.591,0.63224,0.6479,0.94422,0.98763,1,0.995,0.71026,0.56486,0.39946,0.94724,0.000234068,0.000234068,0.000234068
77,165.136,0.61198,0.66052,0.91285,0.97702,1,0.995,0.68648,0.62501,0.41003,0.96717,0.000225068,0.000225068,0.000225068
78,166.819,0.6172,0.63148,0.91961,0.96964,1,0.995,0.69641,0.6277,0.43276,0.97302,0.000216069,0.000216069,0.000216069
79,168.564,0.72121,0.69864,0.97888,0.96504,1,0.995,0.72968,0.60999,0.45255,0.96823,0.00020707,0.00020707,0.00020707
80,170.345,0.59884,0.63444,0.93137,0.96194,1,0.995,0.72968,0.56443,0.44951,0.95863,0.000198071,0.000198071,0.000198071
81,172.716,0.5847,0.59483,0.92143,0.96161,0.99711,0.995,0.75023,0.54356,0.43648,0.94017,0.000189072,0.000189072,0.000189072
82,174.81,0.63228,0.61873,0.91657,0.97398,0.99454,0.995,0.7752,0.52998,0.43808,0.92443,0.000180073,0.000180073,0.000180073
83,176.533,0.59799,0.62626,0.93049,0.99018,0.99848,0.995,0.7709,0.50622,0.42425,0.91573,0.000171074,0.000171074,0.000171074
84,178.191,0.60442,0.61405,0.91971,0.98749,0.99195,0.995,0.76575,0.52066,0.42307,0.90668,0.000162075,0.000162075,0.000162075
85,180.082,0.60581,0.59958,0.89611,0.98938,1,0.995,0.80209,0.54988,0.44526,0.90176,0.000153076,0.000153076,0.000153076
86,181.678,0.54631,0.58038,0.90267,0.98312,1,0.995,0.80927,0.55684,0.47837,0.90219,0.000144077,0.000144077,0.000144077
87,183.27,0.57631,0.61179,0.92358,0.98595,1,0.995,0.80212,0.56427,0.46218,0.90097,0.000135077,0.000135077,0.000135077
88,185.528,0.57029,0.55897,0.89435,0.98767,1,0.995,0.80216,0.54653,0.44581,0.89896,0.000126078,0.000126078,0.000126078
89,188.005,0.59482,0.58691,0.91744,0.98738,1,0.995,0.7908,0.50336,0.41683,0.89482,0.000117079,0.000117079,0.000117079
90,189.684,0.60345,0.63246,0.92463,0.98946,1,0.995,0.7873,0.49535,0.39461,0.89713,0.00010808,0.00010808,0.00010808
91,192.753,0.46019,0.60473,0.85538,0.98957,1,0.995,0.76559,0.5208,0.40261,0.90801,9.9081e-05,9.9081e-05,9.9081e-05
92,194.396,0.4413,0.57296,0.85908,0.99022,1,0.995,0.76583,0.54274,0.42371,0.91653,9.00819e-05,9.00819e-05,9.00819e-05
93,196.048,0.45526,0.59216,0.87442,0.99095,1,0.995,0.75272,0.56086,0.43887,0.91968,8.10828e-05,8.10828e-05,8.10828e-05
94,197.707,0.4448,0.59528,0.85262,0.99122,1,0.995,0.76225,0.55804,0.44807,0.91932,7.20837e-05,7.20837e-05,7.20837e-05
95,199.8,0.45581,0.58745,0.8468,0.98917,1,0.995,0.7831,0.54586,0.45523,0.9167,6.30846e-05,6.30846e-05,6.30846e-05
96,201.807,0.49448,0.62566,0.87089,0.98153,0.99966,0.995,0.78903,0.5314,0.46045,0.91552,5.40855e-05,5.40855e-05,5.40855e-05
97,203.367,0.43569,0.55587,0.83935,0.98073,1,0.995,0.75812,0.52393,0.45714,0.91423,4.50864e-05,4.50864e-05,4.50864e-05
98,204.776,0.42063,0.56104,0.83405,0.97906,1,0.995,0.75811,0.52211,0.45249,0.91395,3.60873e-05,3.60873e-05,3.60873e-05
99,206.239,0.43783,0.56092,0.83958,0.97937,1,0.995,0.7575,0.52888,0.44633,0.91547,2.70882e-05,2.70882e-05,2.70882e-05
100,207.738,0.43796,0.55165,0.86138,0.97972,1,0.995,0.75751,0.53453,0.43491,0.91736,1.80891e-05,1.80891e-05,1.80891e-05
